date;type;id;text
2019-12-12 22:47:57;start;1;Defining Variables.
2019-12-12 22:47:57;finish;1;Defining Variables.
2019-12-12 22:47:57;start;2;Generating dates and filtering returns.
2019-12-12 22:47:57;finish;2;Generating dates and filtering returns.
2019-12-12 22:47:57;start;3;Calculating weights from 40 periods
2019-12-12 22:47:58;start;4;Calculating portfolio weights from 2008-01-01 to 2008-12-31
2019-12-12 22:47:58;start;4;Calculating portfolio weights from 2008-04-01 to 2009-03-31
2019-12-12 22:47:58;start;4;Calculating portfolio weights from 2008-07-01 to 2009-06-30
2019-12-12 22:47:58;start;4;Calculating portfolio weights from 2008-10-01 to 2009-09-30
2019-12-12 22:47:58;start;4;Calculating portfolio weights from 2009-01-01 to 2009-12-31
2019-12-12 22:47:58;start;4;Calculating portfolio weights from 2009-04-01 to 2010-03-31
2019-12-12 22:47:58;start;4;Calculating portfolio weights from 2009-07-01 to 2010-06-30
2019-12-12 22:47:58;start;4;Calculating portfolio weights from 2009-10-01 to 2010-09-30
2019-12-12 22:47:58;start;4;Calculating portfolio weights from 2010-01-01 to 2010-12-31
2019-12-12 22:47:58;start;4;Calculating portfolio weights from 2010-04-01 to 2011-03-31
2019-12-12 22:47:58;start;4;Calculating portfolio weights from 2010-07-01 to 2011-06-30
2019-12-12 22:47:58;start;4;Calculating portfolio weights from 2010-10-01 to 2011-09-30
2019-12-12 22:51:37;finish;4;Calculating portfolio weights from 2008-10-01 to 2009-09-30
2019-12-12 22:51:37;start;4;Calculating portfolio weights from 2011-01-01 to 2011-12-31
2019-12-12 22:51:59;finish;4;Calculating portfolio weights from 2009-10-01 to 2010-09-30
2019-12-12 22:51:59;start;4;Calculating portfolio weights from 2011-04-01 to 2012-03-31
2019-12-12 22:52:48;finish;4;Calculating portfolio weights from 2008-04-01 to 2009-03-31
2019-12-12 22:52:48;start;4;Calculating portfolio weights from 2011-07-01 to 2012-06-30
2019-12-12 22:52:50;finish;4;Calculating portfolio weights from 2009-01-01 to 2009-12-31
2019-12-12 22:52:50;start;4;Calculating portfolio weights from 2011-10-01 to 2012-09-30
2019-12-12 22:52:53;finish;4;Calculating portfolio weights from 2009-04-01 to 2010-03-31
2019-12-12 22:52:53;start;4;Calculating portfolio weights from 2012-01-01 to 2012-12-31
2019-12-12 22:53:19;finish;4;Calculating portfolio weights from 2010-10-01 to 2011-09-30
2019-12-12 22:53:19;start;4;Calculating portfolio weights from 2012-04-01 to 2013-03-31
2019-12-12 22:53:24;finish;4;Calculating portfolio weights from 2010-07-01 to 2011-06-30
2019-12-12 22:53:24;start;4;Calculating portfolio weights from 2012-07-01 to 2013-06-30
2019-12-12 22:53:26;finish;4;Calculating portfolio weights from 2010-04-01 to 2011-03-31
2019-12-12 22:53:26;start;4;Calculating portfolio weights from 2012-10-01 to 2013-09-30
2019-12-12 22:53:27;finish;4;Calculating portfolio weights from 2010-01-01 to 2010-12-31
2019-12-12 22:53:27;start;4;Calculating portfolio weights from 2013-01-01 to 2013-12-31
