date;type;id;text
2019-12-24 12:25:35;start;1;Defining Variables.
2019-12-24 12:25:35;finish;1;Defining Variables.
2019-12-24 12:25:35;start;2;Generating dates and filtering returns.
2019-12-24 12:25:35;finish;2;Generating dates and filtering returns.
2019-12-24 12:25:35;start;3;Calculating weights from 107 periods
2019-12-24 12:25:36;start;4;Calculating portfolio weights from 2009-01-01 to 2009-12-31
2019-12-24 12:25:36;start;4;Calculating portfolio weights from 2009-04-01 to 2010-03-31
2019-12-24 12:25:36;start;4;Calculating portfolio weights from 2009-07-01 to 2010-06-30
2019-12-24 12:25:36;start;4;Calculating portfolio weights from 2009-10-01 to 2010-09-30
2019-12-24 12:25:36;start;4;Calculating portfolio weights from 2010-01-01 to 2010-12-31
2019-12-24 12:25:37;start;4;Calculating portfolio weights from 2010-04-01 to 2011-03-31
2019-12-24 12:25:37;start;4;Calculating portfolio weights from 2010-07-01 to 2011-06-30
2019-12-24 12:25:37;start;4;Calculating portfolio weights from 2010-10-01 to 2011-09-30
2019-12-24 12:25:37;start;4;Calculating portfolio weights from 2011-01-01 to 2011-12-31
2019-12-24 12:25:37;start;4;Calculating portfolio weights from 2011-04-01 to 2012-03-31
2019-12-24 12:25:37;start;4;Calculating portfolio weights from 2011-07-01 to 2012-06-30
2019-12-24 12:25:37;start;4;Calculating portfolio weights from 2011-10-01 to 2012-09-30
2019-12-24 12:29:47;finish;4;Calculating portfolio weights from 2011-07-01 to 2012-06-30
2019-12-24 12:29:47;start;4;Calculating portfolio weights from 2011-08-01 to 2012-07-31
2019-12-24 12:29:51;finish;4;Calculating portfolio weights from 2011-01-01 to 2011-12-31
2019-12-24 12:29:51;start;4;Calculating portfolio weights from 2011-02-01 to 2012-01-31
2019-12-24 12:29:53;finish;4;Calculating portfolio weights from 2011-04-01 to 2012-03-31
2019-12-24 12:29:53;start;4;Calculating portfolio weights from 2011-05-01 to 2012-04-30
2019-12-24 12:30:22;finish;4;Calculating portfolio weights from 2009-01-01 to 2009-12-31
2019-12-24 12:30:22;start;4;Calculating portfolio weights from 2009-02-01 to 2010-01-31
2019-12-24 12:31:07;finish;4;Calculating portfolio weights from 2010-01-01 to 2010-12-31
2019-12-24 12:31:07;start;4;Calculating portfolio weights from 2010-02-01 to 2011-01-31
2019-12-24 12:31:09;finish;4;Calculating portfolio weights from 2009-10-01 to 2010-09-30
2019-12-24 12:31:09;start;4;Calculating portfolio weights from 2009-11-01 to 2010-10-31
2019-12-24 12:31:12;finish;4;Calculating portfolio weights from 2010-10-01 to 2011-09-30
2019-12-24 12:31:12;start;4;Calculating portfolio weights from 2010-11-01 to 2011-10-31
2019-12-24 12:31:13;finish;4;Calculating portfolio weights from 2010-04-01 to 2011-03-31
2019-12-24 12:31:13;start;4;Calculating portfolio weights from 2010-05-01 to 2011-04-30
2019-12-24 12:31:18;finish;4;Calculating portfolio weights from 2011-10-01 to 2012-09-30
2019-12-24 12:31:18;start;4;Calculating portfolio weights from 2011-11-01 to 2012-10-31
2019-12-24 12:31:21;finish;4;Calculating portfolio weights from 2010-07-01 to 2011-06-30
2019-12-24 12:31:21;start;4;Calculating portfolio weights from 2010-08-01 to 2011-07-31
2019-12-24 12:31:35;finish;4;Calculating portfolio weights from 2009-04-01 to 2010-03-31
2019-12-24 12:31:35;start;4;Calculating portfolio weights from 2009-05-01 to 2010-04-30
2019-12-24 12:32:33;finish;4;Calculating portfolio weights from 2009-07-01 to 2010-06-30
2019-12-24 12:32:33;start;4;Calculating portfolio weights from 2009-08-01 to 2010-07-31
2019-12-24 12:34:03;finish;4;Calculating portfolio weights from 2011-08-01 to 2012-07-31
2019-12-24 12:34:03;start;4;Calculating portfolio weights from 2011-09-01 to 2012-08-31
2019-12-24 12:34:05;finish;4;Calculating portfolio weights from 2011-02-01 to 2012-01-31
2019-12-24 12:34:05;start;4;Calculating portfolio weights from 2011-03-01 to 2012-02-29
2019-12-24 12:34:14;finish;4;Calculating portfolio weights from 2011-05-01 to 2012-04-30
2019-12-24 12:34:14;start;4;Calculating portfolio weights from 2011-06-01 to 2012-05-31
2019-12-24 12:35:14;finish;4;Calculating portfolio weights from 2009-02-01 to 2010-01-31
2019-12-24 12:35:14;start;4;Calculating portfolio weights from 2009-03-01 to 2010-02-28
2019-12-24 12:35:43;finish;4;Calculating portfolio weights from 2010-08-01 to 2011-07-31
2019-12-24 12:35:43;start;4;Calculating portfolio weights from 2010-09-01 to 2011-08-31
2019-12-24 12:36:41;finish;4;Calculating portfolio weights from 2009-05-01 to 2010-04-30
2019-12-24 12:36:41;start;4;Calculating portfolio weights from 2009-06-01 to 2010-05-31
2019-12-24 12:36:42;finish;4;Calculating portfolio weights from 2009-11-01 to 2010-10-31
2019-12-24 12:36:42;start;4;Calculating portfolio weights from 2009-12-01 to 2010-11-30
2019-12-24 12:36:51;finish;4;Calculating portfolio weights from 2010-11-01 to 2011-10-31
2019-12-24 12:36:51;start;4;Calculating portfolio weights from 2010-12-01 to 2011-11-30
2019-12-24 12:36:51;finish;4;Calculating portfolio weights from 2010-05-01 to 2011-04-30
2019-12-24 12:36:51;start;4;Calculating portfolio weights from 2010-06-01 to 2011-05-31
2019-12-24 12:37:11;finish;4;Calculating portfolio weights from 2011-11-01 to 2012-10-31
2019-12-24 12:37:11;start;4;Calculating portfolio weights from 2011-12-01 to 2012-11-30
2019-12-24 12:38:05;finish;4;Calculating portfolio weights from 2010-02-01 to 2011-01-31
2019-12-24 12:38:05;start;4;Calculating portfolio weights from 2010-03-01 to 2011-02-28
2019-12-24 12:38:23;finish;4;Calculating portfolio weights from 2011-03-01 to 2012-02-29
2019-12-24 12:38:23;start;4;Calculating portfolio weights from 2012-01-01 to 2012-12-31
2019-12-24 12:38:52;finish;4;Calculating portfolio weights from 2009-03-01 to 2010-02-28
2019-12-24 12:38:52;start;4;Calculating portfolio weights from 2012-04-01 to 2013-03-31
2019-12-24 12:39:31;finish;4;Calculating portfolio weights from 2009-08-01 to 2010-07-31
2019-12-24 12:39:31;start;4;Calculating portfolio weights from 2009-09-01 to 2010-08-31
2019-12-24 12:39:44;finish;4;Calculating portfolio weights from 2011-09-01 to 2012-08-31
2019-12-24 12:39:44;start;4;Calculating portfolio weights from 2012-07-01 to 2013-06-30
2019-12-24 12:39:54;finish;4;Calculating portfolio weights from 2011-06-01 to 2012-05-31
2019-12-24 12:39:54;start;4;Calculating portfolio weights from 2012-10-01 to 2013-09-30
2019-12-24 12:39:55;finish;4;Calculating portfolio weights from 2010-09-01 to 2011-08-31
2019-12-24 12:39:55;start;4;Calculating portfolio weights from 2013-01-01 to 2013-12-31
2019-12-24 12:41:05;finish;4;Calculating portfolio weights from 2010-12-01 to 2011-11-30
2019-12-24 12:41:05;start;4;Calculating portfolio weights from 2013-04-01 to 2014-03-31
