date;type;id;text
2019-12-12 18:21:55;start;1;Defining Variables.
2019-12-12 18:21:55;finish;1;Defining Variables.
2019-12-12 18:21:55;start;2;Generating dates and filtering returns.
2019-12-12 18:21:55;finish;2;Generating dates and filtering returns.
2019-12-12 18:21:55;start;3;Calculating weights from 119 periods
2019-12-12 18:21:56;start;4;Calculating portfolio weights from 2008-01-01 to 2008-12-31
2019-12-12 18:21:56;start;4;Calculating portfolio weights from 2008-04-01 to 2009-03-31
2019-12-12 18:21:56;start;4;Calculating portfolio weights from 2008-07-01 to 2009-06-30
2019-12-12 18:21:56;start;4;Calculating portfolio weights from 2008-10-01 to 2009-09-30
2019-12-12 18:21:56;start;4;Calculating portfolio weights from 2009-01-01 to 2009-12-31
2019-12-12 18:21:56;start;4;Calculating portfolio weights from 2009-04-01 to 2010-03-31
2019-12-12 18:21:56;start;4;Calculating portfolio weights from 2009-07-01 to 2010-06-30
2019-12-12 18:21:56;start;4;Calculating portfolio weights from 2009-10-01 to 2010-09-30
2019-12-12 18:21:56;start;4;Calculating portfolio weights from 2010-01-01 to 2010-12-31
2019-12-12 18:21:56;start;4;Calculating portfolio weights from 2010-04-01 to 2011-03-31
2019-12-12 18:21:56;start;4;Calculating portfolio weights from 2010-07-01 to 2011-06-30
2019-12-12 18:21:56;start;4;Calculating portfolio weights from 2010-10-01 to 2011-09-30
2019-12-12 18:25:28;finish;4;Calculating portfolio weights from 2009-01-01 to 2009-12-31
2019-12-12 18:25:28;start;4;Calculating portfolio weights from 2009-02-01 to 2010-01-31
2019-12-12 18:25:30;finish;4;Calculating portfolio weights from 2009-04-01 to 2010-03-31
2019-12-12 18:25:30;start;4;Calculating portfolio weights from 2009-05-01 to 2010-04-30
2019-12-12 18:25:42;finish;4;Calculating portfolio weights from 2008-10-01 to 2009-09-30
2019-12-12 18:25:42;start;4;Calculating portfolio weights from 2008-11-01 to 2009-10-31
2019-12-12 18:25:52;finish;4;Calculating portfolio weights from 2009-10-01 to 2010-09-30
2019-12-12 18:25:52;start;4;Calculating portfolio weights from 2009-11-01 to 2010-10-31
2019-12-12 18:25:53;finish;4;Calculating portfolio weights from 2010-04-01 to 2011-03-31
2019-12-12 18:25:53;start;4;Calculating portfolio weights from 2010-05-01 to 2011-04-30
2019-12-12 18:26:04;finish;4;Calculating portfolio weights from 2010-10-01 to 2011-09-30
2019-12-12 18:26:04;start;4;Calculating portfolio weights from 2010-11-01 to 2011-10-31
2019-12-12 18:26:45;finish;4;Calculating portfolio weights from 2008-04-01 to 2009-03-31
2019-12-12 18:26:45;start;4;Calculating portfolio weights from 2008-05-01 to 2009-04-30
2019-12-12 18:27:16;finish;4;Calculating portfolio weights from 2009-07-01 to 2010-06-30
2019-12-12 18:27:16;start;4;Calculating portfolio weights from 2009-08-01 to 2010-07-31
2019-12-12 18:27:28;finish;4;Calculating portfolio weights from 2010-01-01 to 2010-12-31
2019-12-12 18:27:28;start;4;Calculating portfolio weights from 2010-02-01 to 2011-01-31
2019-12-12 18:27:33;finish;4;Calculating portfolio weights from 2010-07-01 to 2011-06-30
2019-12-12 18:27:33;start;4;Calculating portfolio weights from 2010-08-01 to 2011-07-31
2019-12-12 18:27:44;finish;4;Calculating portfolio weights from 2008-07-01 to 2009-06-30
2019-12-12 18:27:44;start;4;Calculating portfolio weights from 2008-08-01 to 2009-07-31
2019-12-12 18:27:51;finish;4;Calculating portfolio weights from 2008-01-01 to 2008-12-31
2019-12-12 18:27:51;start;4;Calculating portfolio weights from 2008-02-01 to 2009-01-31
2019-12-12 18:29:07;finish;4;Calculating portfolio weights from 2009-02-01 to 2010-01-31
2019-12-12 18:29:07;start;4;Calculating portfolio weights from 2009-03-01 to 2010-02-28
2019-12-12 18:29:19;finish;4;Calculating portfolio weights from 2008-11-01 to 2009-10-31
2019-12-12 18:29:19;start;4;Calculating portfolio weights from 2008-12-01 to 2009-11-30
2019-12-12 18:30:06;finish;4;Calculating portfolio weights from 2009-05-01 to 2010-04-30
2019-12-12 18:30:06;start;4;Calculating portfolio weights from 2009-06-01 to 2010-05-31
2019-12-12 18:30:07;finish;4;Calculating portfolio weights from 2010-11-01 to 2011-10-31
2019-12-12 18:30:07;start;4;Calculating portfolio weights from 2010-12-01 to 2011-11-30
2019-12-12 18:31:20;finish;4;Calculating portfolio weights from 2009-11-01 to 2010-10-31
2019-12-12 18:31:20;start;4;Calculating portfolio weights from 2009-12-01 to 2010-11-30
2019-12-12 18:31:34;finish;4;Calculating portfolio weights from 2010-05-01 to 2011-04-30
2019-12-12 18:31:34;start;4;Calculating portfolio weights from 2010-06-01 to 2011-05-31
2019-12-12 18:32:44;finish;4;Calculating portfolio weights from 2010-08-01 to 2011-07-31
2019-12-12 18:32:44;start;4;Calculating portfolio weights from 2010-09-01 to 2011-08-31
2019-12-12 18:32:46;finish;4;Calculating portfolio weights from 2010-02-01 to 2011-01-31
2019-12-12 18:32:46;start;4;Calculating portfolio weights from 2010-03-01 to 2011-02-28
2019-12-12 18:32:47;finish;4;Calculating portfolio weights from 2009-03-01 to 2010-02-28
2019-12-12 18:32:47;start;4;Calculating portfolio weights from 2011-01-01 to 2011-12-31
2019-12-12 18:32:53;finish;4;Calculating portfolio weights from 2008-05-01 to 2009-04-30
2019-12-12 18:32:53;start;4;Calculating portfolio weights from 2008-06-01 to 2009-05-31
2019-12-12 18:32:59;finish;4;Calculating portfolio weights from 2008-12-01 to 2009-11-30
2019-12-12 18:32:59;start;4;Calculating portfolio weights from 2011-04-01 to 2012-03-31
2019-12-12 18:33:44;finish;4;Calculating portfolio weights from 2008-08-01 to 2009-07-31
2019-12-12 18:33:44;start;4;Calculating portfolio weights from 2008-09-01 to 2009-08-31
2019-12-12 18:33:58;finish;4;Calculating portfolio weights from 2009-08-01 to 2010-07-31
2019-12-12 18:33:58;start;4;Calculating portfolio weights from 2009-09-01 to 2010-08-31
2019-12-12 18:34:06;finish;4;Calculating portfolio weights from 2008-02-01 to 2009-01-31
2019-12-12 18:34:06;start;4;Calculating portfolio weights from 2008-03-01 to 2009-02-28
2019-12-12 18:34:21;finish;4;Calculating portfolio weights from 2010-12-01 to 2011-11-30
2019-12-12 18:34:21;start;4;Calculating portfolio weights from 2011-07-01 to 2012-06-30
2019-12-12 18:35:15;finish;4;Calculating portfolio weights from 2009-06-01 to 2010-05-31
2019-12-12 18:35:15;start;4;Calculating portfolio weights from 2011-10-01 to 2012-09-30
2019-12-12 18:35:32;finish;4;Calculating portfolio weights from 2010-06-01 to 2011-05-31
2019-12-12 18:35:32;start;4;Calculating portfolio weights from 2012-01-01 to 2012-12-31
2019-12-12 18:36:34;finish;4;Calculating portfolio weights from 2009-12-01 to 2010-11-30
2019-12-12 18:36:34;start;4;Calculating portfolio weights from 2012-04-01 to 2013-03-31
2019-12-12 18:36:38;finish;4;Calculating portfolio weights from 2010-09-01 to 2011-08-31
2019-12-12 18:36:38;start;4;Calculating portfolio weights from 2012-07-01 to 2013-06-30
2019-12-12 18:36:50;finish;4;Calculating portfolio weights from 2010-03-01 to 2011-02-28
2019-12-12 18:36:50;start;4;Calculating portfolio weights from 2012-10-01 to 2013-09-30
2019-12-12 18:36:50;finish;4;Calculating portfolio weights from 2011-01-01 to 2011-12-31
2019-12-12 18:36:50;start;4;Calculating portfolio weights from 2011-02-01 to 2012-01-31
2019-12-12 18:37:18;finish;4;Calculating portfolio weights from 2011-04-01 to 2012-03-31
2019-12-12 18:37:18;start;4;Calculating portfolio weights from 2011-05-01 to 2012-04-30
2019-12-12 18:37:39;finish;4;Calculating portfolio weights from 2008-06-01 to 2009-05-31
2019-12-12 18:37:39;start;4;Calculating portfolio weights from 2013-01-01 to 2013-12-31
2019-12-12 18:38:19;finish;4;Calculating portfolio weights from 2008-09-01 to 2009-08-31
2019-12-12 18:38:19;start;4;Calculating portfolio weights from 2013-04-01 to 2014-03-31
2019-12-12 18:38:33;finish;4;Calculating portfolio weights from 2011-07-01 to 2012-06-30
2019-12-12 18:38:33;start;4;Calculating portfolio weights from 2011-08-01 to 2012-07-31
2019-12-12 18:39:16;finish;4;Calculating portfolio weights from 2009-09-01 to 2010-08-31
2019-12-12 18:39:16;start;4;Calculating portfolio weights from 2013-07-01 to 2014-06-30
2019-12-12 18:39:28;finish;4;Calculating portfolio weights from 2011-10-01 to 2012-09-30
2019-12-12 18:39:28;start;4;Calculating portfolio weights from 2011-11-01 to 2012-10-31
2019-12-12 18:40:41;finish;4;Calculating portfolio weights from 2012-04-01 to 2013-03-31
2019-12-12 18:40:41;start;4;Calculating portfolio weights from 2012-05-01 to 2013-04-30
2019-12-12 18:40:51;finish;4;Calculating portfolio weights from 2012-07-01 to 2013-06-30
2019-12-12 18:40:51;start;4;Calculating portfolio weights from 2012-08-01 to 2013-07-31
2019-12-12 18:40:55;finish;4;Calculating portfolio weights from 2011-02-01 to 2012-01-31
2019-12-12 18:40:55;start;4;Calculating portfolio weights from 2011-03-01 to 2012-02-29
2019-12-12 18:40:58;finish;4;Calculating portfolio weights from 2008-03-01 to 2009-02-28
2019-12-12 18:40:58;start;4;Calculating portfolio weights from 2013-10-01 to 2014-09-30
2019-12-12 18:41:03;finish;4;Calculating portfolio weights from 2012-10-01 to 2013-09-30
2019-12-12 18:41:03;start;4;Calculating portfolio weights from 2012-11-01 to 2013-10-31
2019-12-12 18:41:08;finish;4;Calculating portfolio weights from 2012-01-01 to 2012-12-31
2019-12-12 18:41:08;start;4;Calculating portfolio weights from 2012-02-01 to 2013-01-31
2019-12-12 18:41:26;finish;4;Calculating portfolio weights from 2011-05-01 to 2012-04-30
2019-12-12 18:41:26;start;4;Calculating portfolio weights from 2011-06-01 to 2012-05-31
2019-12-12 18:41:55;finish;4;Calculating portfolio weights from 2013-01-01 to 2013-12-31
2019-12-12 18:41:55;start;4;Calculating portfolio weights from 2013-02-01 to 2014-01-31
2019-12-12 18:42:33;finish;4;Calculating portfolio weights from 2011-08-01 to 2012-07-31
2019-12-12 18:42:33;start;4;Calculating portfolio weights from 2011-09-01 to 2012-08-31
2019-12-12 18:43:35;finish;4;Calculating portfolio weights from 2011-11-01 to 2012-10-31
2019-12-12 18:43:35;start;4;Calculating portfolio weights from 2011-12-01 to 2012-11-30
2019-12-12 18:44:01;finish;4;Calculating portfolio weights from 2013-04-01 to 2014-03-31
2019-12-12 18:44:01;start;4;Calculating portfolio weights from 2013-05-01 to 2014-04-30
2019-12-12 18:44:56;finish;4;Calculating portfolio weights from 2011-03-01 to 2012-02-29
2019-12-12 18:44:56;start;4;Calculating portfolio weights from 2014-01-01 to 2014-12-31
2019-12-12 18:45:03;finish;4;Calculating portfolio weights from 2013-07-01 to 2014-06-30
2019-12-12 18:45:03;start;4;Calculating portfolio weights from 2013-08-01 to 2014-07-31
